artists,genres
Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']"
Afrosound,"['chicha', 'cumbia', 'nu-cumbia']"
Afsal,"['deep indian pop', 'filmi', 'mollywood']"
After 7,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']"
After The Fire,['new wave']
After-Shock,[]
After8,[]
Afternoon Jazz,[]
Afternova,[]
Afu-Ra,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']"
Afzal Lahori,[]
Aga Sarwar,[]
Against Me!,"['folk punk', 'gainesville indie', 'orgcore', 'punk', 'skate punk']"
Against The Current,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']"
Against The Grain,['action rock']
AgainstTheClock,[]
Agapitos,[]
Agatha Lee Monn,[]
Agathoklis Mouskas,[]
Agent Orange,"['hardcore punk', 'punk', 'skate punk', 'surf punk']"
Agent Side Grinder,"['dark post-punk', 'ebm', 'grave wave', 'minimal wave', 'swedish synth']"
Agent Steel,"['melodic thrash', 'metal', 'neo-trad metal', 'nwothm', 'old school thrash', 'speed metal', 'thrash metal', 'us power metal']"
Aggeliki Karagianni,[]
Agha,[]
AGM,[]
Agnelli & Nelson,"['bubble trance', 'hard house']"
Agnes Baltsa,"['classical mezzo-soprano', 'classical performance', 'opera']"
Agnes Giebel,['classical soprano']
Agnes Moorehead,['drama']
Agnes Obel,['chamber pop']
Agnes Varda,[]
Agnetha Fältskog,"['classic swedish pop', 'europop', 'new wave pop']"
Agnostic Front,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'oi', 'old school thrash', 'punk', 'straight edge']"
Ago,"['electronica', 'microhouse', 'minimal techno', 'new french touch', 'organic house', 'tech house']"
Agonoize,"['aggrotech', 'dark electro', 'ebm', 'electro-industrial']"
Agravic,[]
Aguaturbia,['chilean rock']
Agulo,[]
Agust D,['k-rap']
